name,abv,desc,style_name
11.5° PLATO,4.5,"The Plato scale is a measurement of the density of liquid. The number tells brewers how big or small a resulting beer will be—the larger the number the bigger the beer. We designed 11.5° Plato—a lower number on the beer scale—to give us just enough body to support a heavy heap of hops. The result is an easy-drinking session IPA which satisfies the thirst for hops, but urges you to have another round.",Session IPA
12th Of Never,5.5,"Tropically Hoppy. Light, yet Full-Bodied. Bright and Citrusy. Word.
The magical, mystical 12th of Never is a blend of Old and New School hops that play bright citrus, rich coconut, and papaya-esque flavors, all on a solid stage of English puffed wheat. Tropically hoppy. Light, yet full-bodied. Bright and citrusy. The 12th of Never Ale is everything we’ve learned about making hop-forward beer expressed in a moderate voice.  Pale, cold, slightly alcoholic and bitter.  It’s all we know.

These 12oz mini-kegs (AKA cans) are an exciting new option for us, and we are stoopid stoked at the opportunity for y'all to take us to all those new, nelophobic locations…",American Pale
16 So Fine Red Wheat Wine,11.0,"For our super heady 16 year anniversary beer we stepped on the gas and headed down the road less traveled! Our b-day present to ourselves was a racy Red Wheat Wine. The brew rips down the road at 11% ABV fueld by a 45% wheat bomb with an after burner hop shot of Amarillo, Willamette, Nelson Sauvignon, and US Goldings that pushes this baby to the limit of sensory overload. Get in. Sit down. Hold on. Shut up.",Wheatwine
17th Saison,9.0,"This year’s anni ale has everything in it but the pitch fork and a bale of hay. With over two months of fermentation and cellaring time, this saison plows the field as it harvests spicy farmhouse overtones from its primary Fraunch saison yeast. That funky monkey delivers a strapping alc 9 % by vol, seeding a perfect foundation for secondary Brettanomyces fermentation, which hoes a cornucopia of tart and effervescent flavors. Distinct citrus notes from the finishing hops cultivate a naturally freaky fresh palate tweaker. Here’s to the next 17 trips around that burning ball in the sky!",Saison
18th Anniversary Belgian Tripel,10.0,This brilliant Belgian Tripel showcases the best of our brewers as we bring to life 18 years of passion for beer and strive to crate the most interesting beers possible. This tripel leads with complex citrus aromas that are complimented by a strong undertow of spicy hop character. Ardennes yeast brings forward fruity esters as the Belgian candy sugar added in fermentation softens the body while leading to a vigorous ABV in the finished beer.,Belgian Tripel
19 - Golden Belgian Style Ale,7.0,"This Golden Belgian Style Ale matured for over a year on brett in Cabernet and Merlot barrels, then was blended with a bright, citrusy hop-forward Belgian style IPA. Four plus two equals seven here, as the finished product is bigger than the sum of its parts. The art of this crafted cuvee is in the hop profile with a Belgian style nose up front, followed by woody undertones and a complex finish. After 19 years we’re still all about brewing great beer, supporting the communities who drink it and having a kick ass time along the way.",BBL Aged Strong
1904 American Red Lager,5.0,1904 American Red Lager is a special beer that goes by many names depending on which restaurant you visit!,American Lager
2 x 4,8.7,"40% Belgian-style Quad Ale aged in brandy barrels with dates and currants added, 60% Belgian-style Dubbel Ale.",Belgian Ale
200th Anniversary Export Stout,6.0,Toffee caramel with subtle chocolate notes. Complex and very smooth with a balance of roasted malt and sweet chocolate.,Export Stout
2017 Beer Camp,6.5,"At Beer Camp, no beer style is off limits, so we jumped at the idea of doing a Golden IPA using wheat malt for a light, dry body and bold American and experimental hops for intense citrus flavor. The perfect spring seasonal, we invite you to enjoy this year’s Beer Camp encore.",American IPA
20th Anniversary Imperial Hash IPA on Brett,9.0,"Extremely hop forward with a residual sweetness; golden in color with a haze.The Brettanomyces used is a SweetWater house blend.  As fermentation finishes, the Brett will start to produce its associated acids and phenols, lending a slightly tart finish. The aroma is fruity, herbal, tropical and citrusy, and the Brett gives a nice touch of funk and earthy phenolics.",Imperial IPA
21st Anniversary,7.9,"For our next few anniversary releases, we’re celebrating the beer mecca of Flanders, Belgium with a little east vs. west showdown. First off is an Oud Bruin (tr. Old Brown), which represents the style from the region of East Flanders. As the name indicates, this is an old style brown ale that uses a blend of microflora: bacteria such as acetobacter, lactobacillus and pediococcus; yeasts such as cultured saccharomyces yeast and brettanomyces wild yeasts to give the beer a specific sourness and funky aroma. We then aged it in American Oak foeders on top of cherries to give it a nice fruity punch that we know you’ll love.",Flanders Red
25th Anniversary,9.8,Twenty Five is a special-release beer celebrating 25 years of craftsmanship from Breckenridge Brewery. Imperial Vanilla Porter Aged In Rum Barrels.,American Imperial Porter
"30th Anniversary - Charlie, Fred & Ken's Bock",8.3,"Charlie Papazian and Fred Eckhart are the men who launched a thousand breweries. Their writing on the art of homebrewing and steadfast promotion of beer culture helped propel the craft brewing movement. Charlie and Fred agreed to work with us on this special ale in honor of our 30th anniversary. This Imperial Helles Bock is a testament to the ever-evolving brewer’s art. Bold yet balanced with distinct toasted malt character, moderate sweetness and clean and floral hops.",Maibock
30th Anniversary - Jack & Ken's Ale,10.2,"Jack McAuliffe was the first American ""micro"" brewer. His tiny New Albion Brewery in Sonoma, California inspired countless dreamers to start small-scale breweries of their own. Jack agreed to guest brew this very special ale with us in honor of our 30th anniversary. This Black Barleywine Ale is a nod to the legendary ales New Albion served at their legendary summer solstice parties. Rich with bittersweet and roasted malt flavors, balanced with whole-cone American hops, this robust ale should age gracefully for years.",American Barleywine
420 Extra Pale Ale,5.4,"SweetWater 420 Extra Pale Ale, our most popular brew, is a tasty West Coast-style pale ale with a stimulating hop character and a crisp finish. 1st brewed on April 20th 1997.

Grains – Munich, 40L, 2-Row
Hops – Centennial, Cascade

Awards – 2002 Silver Medal- Great American Beer Festival, 1997 – 2005 Creative Loafing Readers Choice – Best local beer, 1998 World Beer Cup silver medal, Top 10 Local beers – Atlanta Journal Constitution",American Pale
420 Strain G13 IPA,6.0,"G13 IPA is a strange new strain, indeed. We took the dank hop profile you’d expect from a hazy IPA, and married it with terpenes and natural hemp flavors. The result is a big yet balanced IPA that mimics the aroma and taste of a heady, green G13. G13 IPA is a sticky super-hybrid that’s ready to rip.

Pungent and dank aromatics on this terpene infused IPA fill the room once the beer is opened. We went with an aggressive dry hop schedule which interlaces nicely with the unique flavors to bring forward citrus and earthy notes followed by a resinous finish. This one’s fire!

Colombus and Simcoe in the boil and dry hop!",American IPA
471 ESB - Extra Special Bitter,7.8,"Extra, extra? You better believe it. We like to say it’s double extra special. The balance of malt and hops makes it truly one-of-a-kind. Warming malt notes at the onset with a hop kick in the back and opens up to a nice dry finish. Our small batch ESB is a big traditional ale with characteristics that break tradition and a complexity that constantly surprises.

Yeast: Scottish Ale
Malts: English Pale, Amber, Crystal and Roasted Barley
Hops: Chinook, Centennial, Fuggle",ESB
471 IPA Barrel Series: Citra,11.3,"471 IPA Barrel Series is a labor of love. We not only give our 471 Double IPA the luxury of time in whiskey barrels, we follow that stage with a dry hop treatment that features a new hop variety with each release. We’ve pampered it here, for you to enjoy.

The Citra dry hop imparts citrus aromas of tangerine and orange.",Imperial IPA
471 IPA Barrel Series: Eureka!,11.2,"471 IPA Barrel Series is a labor of love. We not only give our 471 Double IPA the luxury of time in whiskey barrels, we follow that stage with a dry hop treatment that features a new hop variety with each release. We’ve pampered it here, for you to enjoy.

The Eureka! dry hop imparts aromas of dark fruit and pint with strong herbal notes.",Imperial IPA
471 IPA. Aggressive Hoppiness,9.2,"Hoppy? Brother, 471 IPA redefines hoppy. 471 is a small batch, limited edition ale that was created by our Brewmaster to separate the weak from the strong. 471 is a double IPA, that combines Pale, Munich, Caramel-30, Carapils and Torrified Wheat malts, with Chinook, Centennial, Simcoe and Fuggles hops. It has a big sweet mouthfeel, followed by more hoppiness than you've ever had at one time. Enjoy.",Imperial IPA
471 Small Batch IPA,9.2,"Hoppy? Brother, 471 IPA redefines hoppy. 471 is a small batch, limited edition ale that was created by our Brewmaster to separate the weak from the strong. 471 is a double IPA, that combines Pale, Munich, Caramel-30, Carapils and Torrified Wheat malts, with Chinook, Centennial, Simcoe and Fuggles hops. It has a big sweet mouthfeel, followed by more hoppiness than you've ever had at one time. Enjoy.",American IPA
5 C's IPA,6.5,"Our interpretation of a West Coast IPA is golden, medium-bodied ale that is very hop forward.  The use of Cascade, Chinook, Columbus, Centennial and Crystal hops makes this beer a hophead's dream.",American IPA
7 Birds,5.0,"Strawberry, Raspberry pilsner. Very good. Crisp and clean. Beautiful disaster session style I could drink this all day while being outside.",American Pilsener
7 Cities Pilsner,5.0,"Seven Cities Pilsner, an unfiltered German Pilsner is the first lager style beer to be released by Jackalope Brewing Company.
 It is brewed entirely with noble German Tettnang hops and pours a beautiful light golden color,
 thus we named it after the myth of the Seven Cities of Gold.
 It is a light bodied, refreshing brew with hints of Pilsen malt sweetness,
 and a smooth yet hoppy finish.",American Pilsener
72 Imperial,7.2,"Just sit back and enjoy the ride.

Brewed with chocolate from Colorado's very own Rocky Mountain Chocolate Factory, Inc., this Imperial Chocolate Cream Stout is full of rich, toasted chocolate notes with hints of dark fruit. 72 Imperial will take you where you need to go. Just sit back and enjoy the ride.",Stout
A Beer Named Sue,5.7,Golden ale infused with local organic Artemesia Annua grown by Hallow Herb Farm in Burlington’s Intervale. The aroma and flavor of “Sweet Woodruff” meets fruity esters and soft malt character while finishing dry.,Saison
A Little Sumpin' Sumpin',7.5,Sneaky Smooth with a Touch of What we Call Wheatly-esque-ish-ness. Crispy Wheat and Pale Malt flavors with a Zippy Hop Finish. A Return of the Brand-Spankin’ New Beer From The Summer of 2009.,American Pale
Agave Wheat,5.9,"This true American-style unfiltered wheat has something a little special – the nectar of the great Salmiana Agave. Agave complements the refreshingly light quality of our wheat and adds a subtle note of flavor that expands this beer’s uplifting taste profile. It is familiar, yet creative.

Yeast: American Wheat
Malts: Pale, White Wheat, Torrified Wheat, Carapils, Caramel, Munich
Hops: Fuggle, Cascade, Willamette",Wheat Ale
Ale Communication,7.8,American Double IPA,Imperial Red
Alpha Dog Imperial IPA,8.5,"A True Hop Bomb Brewed plenty of Columbus and Mt Hood Hops for a Piney hop character. Premium Pale, Honey and Munich Malt make this beer a little less malty but packing plenty of hop punch.",Imperial IPA
Alt Route - Beer Camp Across America,6.6,"Brewers are notorious for refusing to take the easy path. Instead, we lead with our hearts and pursue our passions no matter how difficult the road ahead. Alt Route is a tribute to this stubborn spirit that drove us to dodge the status quo and found breweries. Together we chased the siren song of beer with this revamped take on an antique beer style.

Like us, Victory is one of the few brewers with an allegiance to whole-cone hops. They do extensive work with hop flavor, especially focusing on clever and delicious single-hop beers highlighting the same hop grown in different regions. They too share our roots in home brewing and never lost their passion for working with new beers and styles solely for the joy of making something new.",Altbier
American Summer Hoppy Wit,6.0,"A spiced Belgian wit that is hopped with Citra, Amarillo, and Simcoe multiple times in the fermenter. Spicy and citrusy, with fruit flavors from the yeast and hops alike, with a tart twist at the finish.",Witbier
Anniversary Ale,3.8,7th Anniversary of American Flatbread/Zero Gravity being open. Session ale.,American Pale
Anniversary Ale 2007,5.9,"From the Sierra Nevada Brewing Co. website:
Each fall we celebrate our anniversary as one of AmericaÃ¢â?¬â?¢s craft brewing pioneers with a special beer.  This year, in celebration of our 27th year, we have made this beer available to the public for the first time, and aptly named it Anniversary Ale.    

Anniversary Ale is an American-style IPA featuring Cascade hops, the signature hop used in our Pale Ale. The beer has a pronounced pine and citrus hop aroma balanced by the sweetness of two-row pale and caramel malts. The result is an unusually well-balanced IPA that proves an IPA can be both assertive and elegant. Anniversary Ale is a medium-bodied, well-hopped ale that finishes with a slight malt sweetness.",American IPA
Anniversary Ale 2009,5.9,"From the Sierra Nevada Brewing Co. website:
Each fall we celebrate our anniversary as one of AmericaÃ¢â?¬â?¢s craft brewing pioneers with a special beer.  This year, in celebration of our 27th year, we have made this beer available to the public for the first time, and aptly named it Anniversary Ale.    

Anniversary Ale is an American-style IPA featuring Cascade hops, the signature hop used in our Pale Ale. The beer has a pronounced pine and citrus hop aroma balanced by the sweetness of two-row pale and caramel malts. The result is an unusually well-balanced IPA that proves an IPA can be both assertive and elegant. Anniversary Ale is a medium-bodied, well-hopped ale that finishes with a slight malt sweetness.",American IPA
Antwerpen Stout,8.0,"Guinness Antwerpen has a light and creamy texture. It’s produced with a lower hop rate to give it a malty taste that’s less bitter than other stouts. Hints of vanilla, butterscotch and dark fruity flavours deliver a sweet finish",Sweet Stout
Anubis Imperial Coffee Porter,8.0,"A complex Imperial Coffee Porter made with Evans Brothers cold-pressed coffee. Subtle chocolate, and coffee notes are balanced by black malt bitterness and malt sweetness.",Brown Porter
Audition - Double IPA,8.5,This beer is a true West Coast-style Double IPA made with huge amounts of hops - both in the kettle for flavor and later in the torpedo to impart a massive hop aroma. The light malt body and dry finish hide the power in this immensely drinkable hop-bomb.,Imperial IPA
Aunt Sally,5.7,A Unique Dry-Hopped Sweet Tart Sour Mash Ale,Sour
Autumn Ale,6.0,"Looking for a fresh take on Oktoberfest beer?

Breckenridge Brewery's fall seasonal combines the malty goodness of a German lager with the clean crispness of an American ale. Brewed with Munich malts and a delicate blend of Bavarian hops, our Autumn Ale is a full-bodied treat with a nutty-sweet middle, a warming alcohol level and notes of toasted grains. A pre-winter winner.

Yeast:Top Fermenting Ale Yeast
Malts:Two Row Pale, Munich, Roasted Barley, Chocolate
Hops:Perle, Hallertau",Märzen
