name,style_name,abv,att_0,att_1,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9
11.5° PLATO,Session IPA,4.5,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
DayTime Ale,Session IPA,4.65,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
Experimental Hop Session IPA,Session IPA,4.6,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
Hash Session IPA,Session IPA,4.2,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
Pinner Throwback IPA,Session IPA,4.9,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
Southern Hemisphere Session IPA,Session IPA,4.6,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
VT Haze,Session IPA,4.1,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
Wally Junior,Session IPA,4.5,ipa,number,fresh,showcase,sip,nelson,experimental,varieties,need,amarillo,big,simcoe,session,much,hop,people,scale,hazy,sauvin,new
12th Of Never,American Pale,5.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
420 Extra Pale Ale,American Pale,5.4,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
A Little Sumpin' Sumpin',American Pale,7.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Anniversary Ale,American Pale,3.8,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Chico King - Beer Camp Across America,American Pale,6.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
CitruSinensis,American Pale,7.9,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Country Pale Ale,American Pale,5.1,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Dale's Pale Ale,American Pale,6.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Dale's Pale Ale Nitro,American Pale,6.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
ESB - Early Spring Beer,American Pale,5.9,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Equinox,American Pale,8.4,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Goofer Dust,American Pale,6.1,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Ground Score,American Pale,7.1,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Harvest Ale,American Pale,6.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Harvest Ale 2007,American Pale,6.7,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Hop Dog Harvest Pale Ale,American Pale,6.2,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Karaoke Fail,American Pale,6.7,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Lagunitas Undercover Investigation Shut-Down Ale,American Pale,9.6,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Little Sumpin’ Wild,American Pale,8.74,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Little Wolf,American Pale,4.7,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Mango Mosaic Pale Ale,American Pale,5.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Michigan Awesome Hatter,American Pale,5.8,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Moving To the Country,American Pale,5.0,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
New Dogtown Pale Ale,American Pale,6.2,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Old Chico Crystal Wheat,American Pale,4.8,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Pale Ale,American Pale,5.6,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Paleooza,American Pale,4.4,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Palé,American Pale,7.1,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Passion Grass,American Pale,5.0,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Pinnacle Peak Pale Ale,American Pale,4.2,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
